,Name,Address,Geocodes
38,"First Student, Inc.","121 Whitehouse Rd, Rochester, NH 03867, USA","{'lat': 43.2648143, 'lng': -70.9175734}"
39,Laidlaw Transit Management Co Inc,"100 Gruner Rd, Buffalo, NY 14227, USA","{'lat': 42.8961173, 'lng': -78.7801073}"
40,Laidlaw Transit Management Co Inc,"803 Walden Ave, Buffalo, NY 14211, USA","{'lat': 42.9054145, 'lng': -78.8073366}"
41,"FirstGroup America, Inc...","2021 22nd St NW, Rochester, MN 55901, USA","{'lat': 44.0461689, 'lng': -92.4946368}"
42,FirstGroup plc,"2021 22nd St NW, Rochester, MN 55901, USA","{'lat': 44.0461689, 'lng': -92.4946368}"
43,FirstGroup plc,"730 Fuller Rd, Linden, NJ 07036, USA","{'lat': 40.6262494, 'lng': -74.2671893}"
44,"FirstGroup America, Inc.","730 Fuller Rd, Linden, NJ 07036, USA","{'lat': 40.6262494, 'lng': -74.2671893}"
45,Crabtree Transportation...,"19712 S Mullen Rd, Belton, MO 64012, USA","{'lat': 38.7656125, 'lng': -94.51785149999999}"
46,"FirstGroup America, Inc...","2021 32nd St NW, Washington, D.C., DC 20008, USA","{'lat': 38.924472, 'lng': -77.06360339999999}"
47,"FirstGroup America, Inc...","730 Fuller Rd, Linden, NJ 07036, USA","{'lat': 40.6262494, 'lng': -74.2671893}"
48,Chevys Fresh Mex,"34 Schuler St, Sanford, ME 04073, USA","{'lat': 43.425562, 'lng': -70.7683804}"
49,Hoekstra Truck Equipmen...,"260 36th St SE, Grand Rapids, MI 49548, USA","{'lat': 42.8976239, 'lng': -85.6594243}"
50,"FirstGroup America, Inc...","14001 L St, Omaha, NE 68137, USA","{'lat': 41.2122722, 'lng': -96.1325978}"
51,Laidlaw Transit Managem...,"99 Front Ridge Rd, Orland, ME 04472, USA","{'lat': 44.5567035, 'lng': -68.70075589999999}"
52,Cloquet Transit Co,"1203 B Avenue, Ellisville, MS 39437, USA","{'lat': 31.6144492, 'lng': -89.20068119999999}"
53,"First Student, Inc.","123 W Main St, Independence, KS 67301, USA","{'lat': 37.2231187, 'lng': -95.70783829999999}"
54,"First Student, Inc.","99 Front Ridge Rd, Orland, ME 04472, USA","{'lat': 44.5567035, 'lng': -68.70075589999999}"
55,First Student,"1000 Riverside Dr, Battle Creek, MI 49015, USA","{'lat': 42.2707978, 'lng': -85.18930329999999}"
56,The Travelers Companies...,"Po Box 1138, Battle Ground, WA 98604, USA","{'lat': 45.7620026, 'lng': -122.5978469}"
57,"Permacel, A Nitto Denko...","1218 Central Industrial Dr, St. Louis, MO 63110, USA","{'lat': 38.6237133, 'lng': -90.2507937}"
58,"Detroit Technologies, I...","1218 Central Industrial Dr, St. Louis, MO 63110, USA","{'lat': 38.6237133, 'lng': -90.2507937}"
59,"Dillon s Bus Service, I...","8383 Elvaton Rd, Millersville, MD 21108, USA","{'lat': 39.1226735, 'lng': -76.5974028}"
60,Buncombe County School Trnsprt,"74 Washington Ave, Brentwood, NY 11717, USA","{'lat': 40.789832, 'lng': -73.2470716}"
61,Charlotte School Trans Dept,"5001 Airport Center Pkwy B, Charlotte, NC 28208, USA","{'lat': 35.2218033, 'lng': -80.921249}"
